signature_id	programme_label	n_signature_genes	n_present	n_missing	pct_present	present_genes	missing_genes
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	30	30	0	100	FTL,CD74,FTH1,HLA-DRA,SNX3,FCGRT,HLA-DPA1,HMOX1,S100A9,SNX6,TMEM176B,CYBA,RNASET2,AIF1,HLA-DPB1,MS4A7,NPC2,C1QB,S100A8,ISCU,C1QC,C1QA,CTSZ,PLTP,RAB31,TMSB4X,TMBIM6,YWHAH,SPP1,GRN	""
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	30	29	1	96.6666666666667	GNLY,CST3,CFD,IGFBP2,NKG7,IGFBP7,DCN,PNRC1,LGALS1,IFITM2,EIF1,LUM,JUN,SOD2,ARL6IP4,CCL4,IGFBP1,H3F3B,RBP1,C11orf96,GZMA,IL32,AKAP13,ZFP36L2,JUNB,VCAN,MTDH,IGFBP4,KLF6	SELENOP
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	30	30	0	100	CDKN1C,ANXA1,TFPI,DSP,S100A11,MGST3,EZR,KRT18,ARID3A,KRT19,H19,LY6E,SLC2A1,RALBP1,KRT8,HEBP2,C1QTNF6,ADM,CCT8,CLIC3,FSTL3,DSC2,HBZ,PERP,NUTF2,KRT7,VGLL3,RDX,SPINT2,GALNT1	""
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	30	28	2	93.3333333333333	TFPI,CBX3,MT1E,COL4A1,FSTL3,SLC16A3,UBE2S,YWHAE,CDKN1C,COL21A1,RAN,LY6E,GCSH,LAIR2,OBSL1,LRRC59,LRRC32,HEBP2,CALR,PCMT1,PIM3,SERPINB9,PROCR,UBE2F,HAPLN3,CCNB1,SLCO4A1,RANBP1	EVA1B,CGB3
