gene_index	gene_id	gene_symbol
1	ENSG00000243485	MIR1302-2HG
2	ENSG00000237613	FAM138A
3	ENSG00000186092	OR4F5
4	ENSG00000238009	AL627309.1
5	ENSG00000239945	AL627309.3
6	ENSG00000239906	AL627309.2
7	ENSG00000241860	AL627309.5
8	ENSG00000241599	AL627309.4
9	ENSG00000286448	AP006222.2
10	ENSG00000236601	AL732372.1
11	ENSG00000284733	OR4F29
12	ENSG00000235146	AC114498.1
13	ENSG00000284662	OR4F16
14	ENSG00000229905	AL669831.2
15	ENSG00000237491	LINC01409
16	ENSG00000177757	FAM87B
17	ENSG00000228794	LINC01128
18	ENSG00000225880	LINC00115
19	ENSG00000230368	FAM41C
20	ENSG00000272438	AL645608.6
21	ENSG00000230699	AL645608.2
22	ENSG00000241180	AL645608.4
23	ENSG00000223764	LINC02593
24	ENSG00000187634	SAMD11
25	ENSG00000188976	NOC2L
26	ENSG00000187961	KLHL17
27	ENSG00000187583	PLEKHN1
28	ENSG00000187642	PERM1
29	ENSG00000272512	AL645608.7
30	ENSG00000188290	HES4
31	ENSG00000187608	ISG15
32	ENSG00000224969	AL645608.1
33	ENSG00000188157	AGRN
34	ENSG00000242590	AL645608.5
35	ENSG00000273443	AL645608.8
36	ENSG00000237330	RNF223
37	ENSG00000131591	C1orf159
38	ENSG00000285812	AL390719.3
39	ENSG00000223823	LINC01342
40	ENSG00000272141	AL390719.2
41	ENSG00000205231	TTLL10-AS1
42	ENSG00000162571	TTLL10
43	ENSG00000186891	TNFRSF18
44	ENSG00000186827	TNFRSF4
45	ENSG00000078808	SDF4
46	ENSG00000176022	B3GALT6
47	ENSG00000184163	C1QTNF12
48	ENSG00000260179	AL162741.1
49	ENSG00000160087	UBE2J2
50	ENSG00000230415	LINC01786
51	ENSG00000162572	SCNN1D
52	ENSG00000131584	ACAP3
53	ENSG00000169972	PUSL1
54	ENSG00000127054	INTS11
55	ENSG00000240731	AL139287.1
56	ENSG00000224051	CPTP
57	ENSG00000169962	TAS1R3
58	ENSG00000107404	DVL1
59	ENSG00000162576	MXRA8
60	ENSG00000175756	AURKAIP1
61	ENSG00000221978	CCNL2
62	ENSG00000224870	MRPL20-AS1
63	ENSG00000242485	MRPL20
64	ENSG00000272455	AL391244.2
65	ENSG00000235098	ANKRD65
66	ENSG00000225905	AL391244.1
67	ENSG00000205116	TMEM88B
68	ENSG00000225285	LINC01770
69	ENSG00000179403	VWA1
70	ENSG00000215915	ATAD3C
71	ENSG00000160072	ATAD3B
72	ENSG00000197785	ATAD3A
73	ENSG00000205090	TMEM240
74	ENSG00000160075	SSU72
75	ENSG00000215014	AL645728.1
76	ENSG00000228594	FNDC10
77	ENSG00000286989	AL691432.4
78	ENSG00000272106	AL691432.2
79	ENSG00000197530	MIB2
80	ENSG00000189409	MMP23B
81	ENSG00000248333	CDK11B
82	ENSG00000272004	FO704657.1
83	ENSG00000189339	SLC35E2B
84	ENSG00000008128	CDK11A
85	ENSG00000215790	SLC35E2A
86	ENSG00000008130	NADK
87	ENSG00000078369	GNB1
88	ENSG00000231050	AL109917.1
89	ENSG00000169885	CALML6
90	ENSG00000178821	TMEM52
91	ENSG00000142609	CFAP74
92	ENSG00000233542	AL391845.2
93	ENSG00000187730	GABRD
94	ENSG00000226969	AL391845.1
95	ENSG00000067606	PRKCZ
96	ENSG00000271806	AL590822.2
97	ENSG00000182873	PRKCZ-AS1
98	ENSG00000162585	FAAP20
99	ENSG00000234396	AL590822.1
100	ENSG00000157933	SKI
101	ENSG00000287356	AL590822.3
102	ENSG00000116151	MORN1
103	ENSG00000272161	AL589739.1
104	ENSG00000272420	AL513477.2
105	ENSG00000157916	RER1
106	ENSG00000157911	PEX10
107	ENSG00000149527	PLCH2
108	ENSG00000224387	AL139246.1
109	ENSG00000229393	AL139246.4
110	ENSG00000157881	PANK4
111	ENSG00000197921	HES5
112	ENSG00000272449	AL139246.5
113	ENSG00000238164	TNFRSF14-AS1
114	ENSG00000157873	TNFRSF14
115	ENSG00000228037	AL139246.3
116	ENSG00000157870	PRXL2B
117	ENSG00000142606	MMEL1
118	ENSG00000237058	AL831784.1
119	ENSG00000215912	TTC34
120	ENSG00000285945	AC242022.2
121	ENSG00000283259	AC242022.1
122	ENSG00000233234	AL592464.2
123	ENSG00000287396	AL592464.3
124	ENSG00000231630	AL592464.1
125	ENSG00000284745	AL589702.1
126	ENSG00000169717	ACTRT2
127	ENSG00000177133	PRDM16-DT
128	ENSG00000142611	PRDM16
129	ENSG00000226286	AL008733.1
130	ENSG00000272235	AL590438.1
131	ENSG00000287828	AL354743.2
132	ENSG00000286518	AL354743.1
133	ENSG00000130762	ARHGEF16
134	ENSG00000272088	AL512413.1
135	ENSG00000162591	MEGF6
136	ENSG00000238260	AL513320.1
137	ENSG00000158109	TPRG1L
138	ENSG00000116213	WRAP73
139	ENSG00000078900	TP73
140	ENSG00000227589	AL136528.1
141	ENSG00000235131	AL136528.2
142	ENSG00000162592	CCDC27
143	ENSG00000235169	SMIM1
144	ENSG00000130764	LRRC47
145	ENSG00000272153	AL365330.1
146	ENSG00000116198	CEP104
147	ENSG00000169598	DFFB
148	ENSG00000198912	C1orf174
149	ENSG00000236423	LINC01134
150	ENSG00000233304	LINC01346
151	ENSG00000226374	LINC01345
152	ENSG00000284668	LINC02780
153	ENSG00000284703	AL805961.1
154	ENSG00000235054	LINC01777
155	ENSG00000284694	AL355602.1
156	ENSG00000227169	Z98747.1
157	ENSG00000232596	LINC01646
158	ENSG00000196581	AJAP1
159	ENSG00000287586	Z98886.1
160	ENSG00000284739	BX005132.1
161	ENSG00000284674	LINC02781
162	ENSG00000231510	LINC02782
163	ENSG00000284616	AL139823.1
164	ENSG00000284692	Z98259.3
165	ENSG00000284666	Z98259.2
166	ENSG00000260972	Z98259.1
167	ENSG00000236948	AL365255.1
168	ENSG00000131697	NPHP4
169	ENSG00000069424	KCNAB2
170	ENSG00000116254	CHD5
171	ENSG00000116251	RPL22
172	ENSG00000226944	AL031847.1
173	ENSG00000158286	RNF207
174	ENSG00000116237	ICMT
175	ENSG00000225077	LINC00337
176	ENSG00000173673	HES3
177	ENSG00000158292	GPR153
178	ENSG00000097021	ACOT7
179	ENSG00000271746	AL031848.2
180	ENSG00000069812	HES2
181	ENSG00000187017	ESPN
182	ENSG00000231868	AL031848.1
183	ENSG00000215788	TNFRSF25
184	ENSG00000171680	PLEKHG5
185	ENSG00000162408	NOL9
186	ENSG00000173662	TAS1R1
187	ENSG00000204859	ZBTB48
188	ENSG00000162413	KLHL21
189	ENSG00000116273	PHF13
190	ENSG00000041988	THAP3
191	ENSG00000007923	DNAJC11
192	ENSG00000228750	LINC01672
193	ENSG00000284744	AL591163.1
194	ENSG00000237436	CAMTA1-DT
195	ENSG00000171735	CAMTA1
196	ENSG00000237365	AL512330.1
197	ENSG00000237402	CAMTA1-IT1
198	ENSG00000237728	Z97987.1
199	ENSG00000225126	AL365194.1
200	ENSG00000270171	AL359881.3
201	ENSG00000270035	AL359881.2
202	ENSG00000269978	AL359881.1
203	ENSG00000049245	VAMP3
204	ENSG00000269925	Z98884.2
205	ENSG00000049246	PER3
206	ENSG00000236266	Z98884.1
207	ENSG00000049247	UTS2
208	ENSG00000049249	TNFRSF9
209	ENSG00000116288	PARK7
210	ENSG00000284747	AL034417.4
211	ENSG00000284716	AL034417.3
212	ENSG00000116285	ERRFI1
213	ENSG00000238290	AL034417.2
214	ENSG00000227634	LINC01714
215	ENSG00000233645	AL358876.2
216	ENSG00000162426	SLC45A1
217	ENSG00000142599	RERE
218	ENSG00000232912	RERE-AS1
219	ENSG00000228423	AL357552.2
220	ENSG00000074800	ENO1
221	ENSG00000230679	ENO1-AS1
222	ENSG00000131686	CA6
223	ENSG00000197241	SLC2A7
224	ENSG00000142583	SLC2A5
225	ENSG00000180758	GPR157
226	ENSG00000228526	MIR34AHG
227	ENSG00000234546	LNCTAM34A
228	ENSG00000049239	H6PD
229	ENSG00000171621	SPSB1
230	ENSG00000284652	BX323043.1
231	ENSG00000284693	LINC02606
232	ENSG00000235263	AL928921.1
233	ENSG00000171612	SLC25A33
234	ENSG00000188807	TMEM201
235	ENSG00000171608	PIK3CD
236	ENSG00000179840	PIK3CD-AS1
237	ENSG00000231789	PIK3CD-AS2
238	ENSG00000171603	CLSTN1
239	ENSG00000178585	CTNNBIP1
240	ENSG00000223989	AL357140.1
