gene_index	gene_id	gene_symbol
241	ENSG00000285701	AL357140.4
242	ENSG00000162441	LZIC
243	ENSG00000228150	AL357140.2
244	ENSG00000173614	NMNAT1
245	ENSG00000241326	AL603962.1
246	ENSG00000162444	RBP7
247	ENSG00000130939	UBE4B
248	ENSG00000054523	KIF1B
249	ENSG00000284735	AL139424.3
250	ENSG00000284642	AL139424.2
251	ENSG00000142657	PGD
252	ENSG00000271989	AL139424.1
253	ENSG00000175279	CENPS
254	ENSG00000241563	CORT
255	ENSG00000160049	DFFA
256	ENSG00000203469	AL354956.1
257	ENSG00000142655	PEX14
258	ENSG00000287727	AL139423.2
259	ENSG00000130940	CASZ1
260	ENSG00000272078	AL139423.1
261	ENSG00000175262	C1orf127
262	ENSG00000120948	TARDBP
263	ENSG00000009724	MASP2
264	ENSG00000271895	AL109811.2
265	ENSG00000116649	SRM
266	ENSG00000171824	EXOSC10
267	ENSG00000226849	AL109811.1
268	ENSG00000230337	EXOSC10-AS1
269	ENSG00000198793	MTOR
270	ENSG00000225602	MTOR-AS1
271	ENSG00000171819	ANGPTL7
272	ENSG00000120942	UBIAD1
273	ENSG00000284646	AL031291.1
274	ENSG00000204624	DISP3
275	ENSG00000285833	AL590989.1
276	ENSG00000235643	LINC01647
277	ENSG00000284708	AL031731.1
278	ENSG00000116661	FBXO2
279	ENSG00000132879	FBXO44
280	ENSG00000116663	FBXO6
281	ENSG00000116670	MAD2L2
282	ENSG00000162490	DRAXIN
283	ENSG00000177674	AGTRAP
284	ENSG00000215910	C1orf167
285	ENSG00000177553	AL953897.1
286	ENSG00000177000	MTHFR
287	ENSG00000011021	CLCN6
288	ENSG00000175206	NPPA
289	ENSG00000120937	NPPB
290	ENSG00000285646	AL021155.5
291	ENSG00000116685	KIAA2013
292	ENSG00000083444	PLOD1
293	ENSG00000287384	AL096840.2
294	ENSG00000116688	MFN2
295	ENSG00000116691	MIIP
296	ENSG00000120949	TNFRSF8
297	ENSG00000285604	AL357835.1
298	ENSG00000028137	TNFRSF1B
299	ENSG00000048707	VPS13D
300	ENSG00000229484	LINC02766
301	ENSG00000162496	DHRS3
302	ENSG00000272482	AC254633.1
303	ENSG00000204518	AADACL4
304	ENSG00000188984	AADACL3
305	ENSG00000157330	C1orf158
306	ENSG00000116726	PRAMEF12
307	ENSG00000116721	PRAMEF1
308	ENSG00000228338	LINC01784
309	ENSG00000239810	PRAMEF11
310	ENSG00000179172	HNRNPCL1
311	ENSG00000120952	PRAMEF2
312	ENSG00000243073	PRAMEF4
313	ENSG00000187545	PRAMEF10
314	ENSG00000204510	PRAMEF7
315	ENSG00000232423	PRAMEF6
316	ENSG00000274764	PRAMEF27
317	ENSG00000277058	HNRNPCL3
318	ENSG00000229571	PRAMEF25
319	ENSG00000275774	HNRNPCL2
320	ENSG00000233336	AC245056.1
321	ENSG00000280267	PRAMEF26
322	ENSG00000179412	HNRNPCL4
323	ENSG00000204505	PRAMEF9
324	ENSG00000279169	PRAMEF13
325	ENSG00000279804	PRAMEF18
326	ENSG00000270601	PRAMEF5
327	ENSG00000182330	PRAMEF8
328	ENSG00000237700	PRAMEF33
329	ENSG00000204501	PRAMEF15
330	ENSG00000228229	AC243961.1
331	ENSG00000204481	PRAMEF14
332	ENSG00000204480	PRAMEF19
333	ENSG00000204479	PRAMEF17
334	ENSG00000204478	PRAMEF20
335	ENSG00000162494	LRRC38
336	ENSG00000259961	AL354712.1
337	ENSG00000162493	PDPN
338	ENSG00000237445	AL359771.1
339	ENSG00000116731	PRDM2
340	ENSG00000189337	KAZN
341	ENSG00000231606	AL357873.1
342	ENSG00000234593	KAZN-AS1
343	ENSG00000287756	AL031293.1
344	ENSG00000175147	TMEM51-AS1
345	ENSG00000171729	TMEM51
346	ENSG00000204464	C1orf195
347	ENSG00000142621	FHAD1
348	ENSG00000233485	AL031283.2
349	ENSG00000236045	AL031283.3
350	ENSG00000228140	AL031283.1
351	ENSG00000142634	EFHD2
352	ENSG00000162438	CTRC
353	ENSG00000142615	CELA2A
354	ENSG00000215704	CELA2B
355	ENSG00000132906	CASP9
356	ENSG00000116138	DNAJC16
357	ENSG00000272510	AL121992.3
358	ENSG00000116771	AGMAT
359	ENSG00000237301	AL121992.1
360	ENSG00000197312	DDI2
361	ENSG00000215695	RSC1A1
362	ENSG00000271742	AL121992.2
363	ENSG00000116786	PLEKHM2
364	ENSG00000237938	AL450998.3
365	ENSG00000162461	SLC25A34
366	ENSG00000224459	SLC25A34-AS1
367	ENSG00000162460	TMEM82
368	ENSG00000162458	FBLIM1
369	ENSG00000233954	UQCRHL
370	ENSG00000179743	AL450998.2
371	ENSG00000065526	SPEN
372	ENSG00000116809	ZBTB17
373	ENSG00000183888	SRARP
374	ENSG00000233078	AL355994.3
375	ENSG00000173641	HSPB7
376	ENSG00000186510	CLCNKA
377	ENSG00000184908	CLCNKB
378	ENSG00000185519	FAM131C
379	ENSG00000142627	EPHA2
380	ENSG00000227959	AL451042.2
381	ENSG00000224621	AL451042.1
382	ENSG00000234166	ARHGEF19-AS1
383	ENSG00000142632	ARHGEF19
384	ENSG00000288398	AL109627.1
385	ENSG00000132881	CPLANE2
386	ENSG00000037637	FBXO42
387	ENSG00000055070	SZRD1
388	ENSG00000187144	SPATA21
389	ENSG00000157191	NECAP2
390	ENSG00000226029	LINC01772
391	ENSG00000261135	AL137802.2
392	ENSG00000224174	AL137802.1
393	ENSG00000233421	LINC01783
394	ENSG00000219481	NBPF1
395	ENSG00000271732	AL137798.1
396	ENSG00000282143	AL137798.2
397	ENSG00000279151	AL021920.1
398	ENSG00000282740	AL021920.3
399	ENSG00000058453	CROCC
400	ENSG00000223643	BX284668.1
401	ENSG00000228549	BX284668.2
402	ENSG00000238142	BX284668.5
403	ENSG00000272426	BX284668.6
404	ENSG00000117122	MFAP2
405	ENSG00000286898	AL049569.2
406	ENSG00000226526	AL049569.1
407	ENSG00000159363	ATP13A2
408	ENSG00000117118	SDHB
409	ENSG00000117115	PADI2
410	ENSG00000204362	LINC02783
411	ENSG00000282843	AL590644.1
412	ENSG00000142623	PADI1
413	ENSG00000142619	PADI3
414	ENSG00000159339	PADI4
415	ENSG00000276747	PADI6
416	ENSG00000227751	RCC2-AS1
417	ENSG00000179051	RCC2
418	ENSG00000074964	ARHGEF10L
419	ENSG00000236648	LINC02810
420	ENSG00000117148	ACTL8
421	ENSG00000284653	AL357509.1
422	ENSG00000261781	LINC01654
423	ENSG00000117154	IGSF21
424	ENSG00000230035	IGSF21-AS1
425	ENSG00000225387	AL591896.1
426	ENSG00000179023	KLHDC7A
427	ENSG00000009709	PAX7
428	ENSG00000179002	TAS1R2
429	ENSG00000159423	ALDH4A1
430	ENSG00000169991	IFFO2
431	ENSG00000272084	AL137127.1
432	ENSG00000127481	UBR4
433	ENSG00000230424	EMC1-AS1
434	ENSG00000127463	EMC1
435	ENSG00000053372	MRTO4
436	ENSG00000162482	AKR7A3
437	ENSG00000053371	AKR7A2
438	ENSG00000040487	SLC66A1
439	ENSG00000077549	CAPZB
440	ENSG00000173436	MICOS10
441	ENSG00000235185	AL031727.2
442	ENSG00000158747	NBL1
443	ENSG00000158748	HTR6
444	ENSG00000162542	TMCO4
445	ENSG00000178828	RNF186
446	ENSG00000235434	AL391883.1
447	ENSG00000169914	OTUD3
448	ENSG00000188784	PLA2G2E
449	ENSG00000188257	PLA2G2A
450	ENSG00000127472	PLA2G5
451	ENSG00000117215	PLA2G2D
452	ENSG00000158786	PLA2G2F
453	ENSG00000227066	Z98257.1
454	ENSG00000187980	PLA2G2C
455	ENSG00000225986	UBXN10-AS1
456	ENSG00000162543	UBXN10
457	ENSG00000228105	LINC01757
458	ENSG00000284710	Z98257.2
459	ENSG00000158816	VWA5B1
460	ENSG00000226664	AL020998.1
461	ENSG00000236963	LINC01141
462	ENSG00000226487	AL139254.1
463	ENSG00000284641	AL139254.2
464	ENSG00000284743	AL139254.3
465	ENSG00000162545	CAMK2N1
466	ENSG00000090432	MUL1
467	ENSG00000183114	FAM43B
468	ENSG00000158825	CDA
469	ENSG00000158828	PINK1
470	ENSG00000117242	PINK1-AS
471	ENSG00000244038	DDOST
472	ENSG00000117245	KIF17
473	ENSG00000189410	SH2D5
474	ENSG00000233069	AL663074.1
475	ENSG00000127483	HP1BP3
476	ENSG00000075151	EIF4G3
477	ENSG00000287192	AL031005.2
478	ENSG00000117298	ECE1
479	ENSG00000236936	AL031005.1
480	ENSG00000231105	AL031728.1
481	ENSG00000236009	AL592309.2
482	ENSG00000142794	NBPF3
483	ENSG00000162551	ALPL
484	ENSG00000233431	LINC02596
485	ENSG00000076864	RAP1GAP
486	ENSG00000090686	USP48
487	ENSG00000187942	LDLRAD2
488	ENSG00000142798	HSPG2
489	ENSG00000219073	CELA3B
490	ENSG00000142789	CELA3A
491	ENSG00000228397	LINC01635
492	ENSG00000218510	LINC00339
493	ENSG00000070831	CDC42
494	ENSG00000285752	CDC42-AS1
495	ENSG00000230068	CDC42-IT1
496	ENSG00000162552	WNT4
497	ENSG00000285873	AL445253.1
498	ENSG00000184677	ZBTB40
499	ENSG00000237200	ZBTB40-IT1
500	ENSG00000070886	EPHA8
501	ENSG00000173372	C1QA
502	ENSG00000159189	C1QC
503	ENSG00000173369	C1QB
504	ENSG00000133216	EPHB2
505	ENSG00000225952	AL512444.1
506	ENSG00000215906	LACTBL1
507	ENSG00000227868	TEX46
508	ENSG00000004487	KDM1A
509	ENSG00000240553	AL031428.1
510	ENSG00000169641	LUZP1
511	ENSG00000179546	HTR1D
512	ENSG00000261326	LINC01355
513	ENSG00000284726	AL109936.6
514	ENSG00000125944	HNRNPR
515	ENSG00000125945	ZNF436
516	ENSG00000249087	ZNF436-AS1
517	ENSG00000271420	AL109936.2
518	ENSG00000204219	TCEA3
519	ENSG00000088280	ASAP3
520	ENSG00000007968	E2F2
521	ENSG00000235052	AL021154.1
522	ENSG00000117318	ID3
523	ENSG00000285802	AL450043.1
524	ENSG00000197880	MDS2
525	ENSG00000142676	RPL11
526	ENSG00000236810	ELOA-AS1
527	ENSG00000011007	ELOA
528	ENSG00000057757	PITHD1
529	ENSG00000011009	LYPLA2
530	ENSG00000117308	GALE
531	ENSG00000117305	HMGCL
532	ENSG00000179163	FUCA1
533	ENSG00000188822	CNR2
534	ENSG00000232557	AL590609.3
535	ENSG00000189266	PNRC2
536	ENSG00000188529	SRSF10
537	ENSG00000225315	AL591178.1
538	ENSG00000142661	MYOM3
539	ENSG00000230703	AL591178.2
540	ENSG00000142677	IL22RA1
541	ENSG00000185436	IFNLR1
542	ENSG00000230023	LINC02800
543	ENSG00000232298	AL138902.1
544	ENSG00000158055	GRHL3
545	ENSG00000001460	STPG1
546	ENSG00000001461	NIPAL3
547	ENSG00000286061	RCAN3AS
548	ENSG00000117602	RCAN3
549	ENSG00000264443	NCMAP-DT
550	ENSG00000184454	NCMAP
551	ENSG00000133226	SRRM1
552	ENSG00000284699	AL445648.1
553	ENSG00000169504	CLIC4
554	ENSG00000020633	RUNX3
555	ENSG00000229162	AL445471.1
556	ENSG00000261025	AL445471.2
557	ENSG00000285823	LINC02793
558	ENSG00000233755	AL050344.1
559	ENSG00000231953	AL031432.1
560	ENSG00000117614	SYF2
561	ENSG00000284602	AL031432.4
562	ENSG00000284657	AL031432.5
563	ENSG00000117616	RSRP1
564	ENSG00000272432	AL031432.3
565	ENSG00000187010	RHD
566	ENSG00000183726	TMEM50A
567	ENSG00000188672	RHCE
568	ENSG00000204178	MACO1
569	ENSG00000157978	LDLRAP1
570	ENSG00000225643	AL606491.1
571	ENSG00000117643	MAN1C1
572	ENSG00000233478	AL031280.1
573	ENSG00000162430	SELENON
574	ENSG00000228172	AL020996.1
575	ENSG00000117640	MTFR1L
576	ENSG00000272478	AL020996.3
577	ENSG00000127423	AUNIP
578	ENSG00000236528	AL033528.2
579	ENSG00000182749	PAQR7
580	ENSG00000117632	STMN1
581	ENSG00000158006	PAFAH2
582	ENSG00000158008	EXTL1
583	ENSG00000158014	SLC30A2
584	ENSG00000284309	AL391650.2
585	ENSG00000158022	TRIM63
586	ENSG00000175087	PDIK1L
587	ENSG00000197245	FAM110D
588	ENSG00000282872	C1orf232
589	ENSG00000236782	AL391650.1
590	ENSG00000142684	ZNF593
591	ENSG00000142675	CNKSR1
592	ENSG00000188782	CATSPER4
593	ENSG00000130695	CEP85
594	ENSG00000142669	SH3BGRL3
595	ENSG00000158062	UBXN11
596	ENSG00000169442	CD52
597	ENSG00000176092	CRYBG2
598	ENSG00000176083	ZNF683
599	ENSG00000131914	LIN28A
600	ENSG00000117682	DHDDS
601	ENSG00000225891	AL513365.2
602	ENSG00000198830	HMGN2
603	ENSG00000117676	RPS6KA1
604	ENSG00000260063	AL512408.1
605	ENSG00000117713	ARID1A
606	ENSG00000060642	PIGV
607	ENSG00000204160	ZDHHC18
608	ENSG00000175793	SFN
609	ENSG00000142751	GPN2
610	ENSG00000226698	AL034380.1
611	ENSG00000198746	GPATCH3
612	ENSG00000090273	NUDC
613	ENSG00000131910	NR0B2
614	ENSG00000175707	KDF1
615	ENSG00000253368	TRNP1
616	ENSG00000158246	TENT5B
617	ENSG00000090020	SLC9A1
618	ENSG00000224311	AL590640.1
619	ENSG00000142784	WDTC1
620	ENSG00000186501	TMEM222
621	ENSG00000142765	SYTL1
622	ENSG00000142733	MAP3K6
623	ENSG00000142748	FCN3
624	ENSG00000174950	CD164L2
625	ENSG00000181773	GPR3
626	ENSG00000158195	WASF2
627	ENSG00000241169	FO393419.2
628	ENSG00000237429	BX293535.1
629	ENSG00000126705	AHDC1
630	ENSG00000000938	FGR
631	ENSG00000233975	LINC02574
632	ENSG00000126709	IFI6
633	ENSG00000225886	AL445490.1
634	ENSG00000287244	AL020997.5
635	ENSG00000009780	FAM76A
636	ENSG00000117758	STX12
637	ENSG00000269971	AL020997.2
638	ENSG00000270031	AL020997.3
639	ENSG00000286433	AL020997.4
640	ENSG00000117751	PPP1R8
641	ENSG00000130775	THEMIS2
642	ENSG00000117748	RPA2
643	ENSG00000130768	SMPDL3B
644	ENSG00000227050	AL512288.1
645	ENSG00000158156	XKR8
646	ENSG00000158161	EYA3
647	ENSG00000169403	PTAFR
648	ENSG00000126698	DNAJC8
649	ENSG00000130770	ATP5IF1
650	ENSG00000270605	AL353622.1
651	ENSG00000271398	AL353622.2
652	ENSG00000130766	SESN2
653	ENSG00000130772	MED18
654	ENSG00000204138	PHACTR4
655	ENSG00000180198	RCC1
656	ENSG00000242125	SNHG3
657	ENSG00000180098	TRNAU1AP
658	ENSG00000197989	SNHG12
659	ENSG00000120656	TAF12
660	ENSG00000188060	RAB42
661	ENSG00000229388	LINC01715
662	ENSG00000270103	AL360012.1
663	ENSG00000162419	GMEB1
664	ENSG00000198492	YTHDF2
665	ENSG00000116329	OPRD1
666	ENSG00000233427	AL009181.1
667	ENSG00000159023	EPB41
668	ENSG00000253304	TMEM200B
669	ENSG00000225750	AL357500.1
670	ENSG00000116350	SRSF4
671	ENSG00000116353	MECR
672	ENSG00000237934	AL590729.1
673	ENSG00000060656	PTPRU
674	ENSG00000230523	LINC01756
675	ENSG00000228176	AC092265.1
676	ENSG00000284676	AL645944.2
677	ENSG00000233399	LINC01648
678	ENSG00000233372	AL137076.1
679	ENSG00000236335	AL161638.2
680	ENSG00000231949	AL161638.1
681	ENSG00000162510	MATN1
682	ENSG00000186056	MATN1-AS1
683	ENSG00000287510	AL137857.1
684	ENSG00000162511	LAPTM5
685	ENSG00000229607	AL137027.1
686	ENSG00000223382	LINC01778
687	ENSG00000235143	AL445235.1
688	ENSG00000162512	SDC3
689	ENSG00000134644	PUM1
690	ENSG00000084628	NKAIN1
691	ENSG00000060688	SNRNP40
692	ENSG00000121766	ZCCHC17
693	ENSG00000229044	AL451070.1
694	ENSG00000121769	FABP3
695	ENSG00000168528	SERINC2
696	ENSG00000284543	LINC01226
697	ENSG00000229167	AC114488.1
698	ENSG00000142910	TINAGL1
699	ENSG00000121764	HCRTR1
700	ENSG00000162517	PEF1
701	ENSG00000235790	AC114488.2
702	ENSG00000264078	AC114488.3
703	ENSG00000084636	COL16A1
704	ENSG00000121753	ADGRB2
705	ENSG00000254545	AL354919.2
706	ENSG00000134668	SPOCD1
707	ENSG00000203620	AL354919.1
708	ENSG00000269967	AL136115.2
709	ENSG00000184007	PTP4A2
710	ENSG00000228634	AL136115.1
711	ENSG00000284702	AL136115.3
712	ENSG00000121774	KHDRBS1
713	ENSG00000203325	AL445248.1
714	ENSG00000121775	TMEM39B
715	ENSG00000025800	KPNA6
716	ENSG00000250135	AL049795.2
717	ENSG00000084652	TXLNA
718	ENSG00000160050	CCDC28B
719	ENSG00000224066	AL049795.1
720	ENSG00000160051	IQCC
721	ENSG00000222046	DCDC2B
722	ENSG00000160055	TMEM234
723	ENSG00000084623	EIF3I
724	ENSG00000183615	FAM167B
725	ENSG00000182866	LCK
726	ENSG00000116478	HDAC1
727	ENSG00000175130	MARCKSL1
728	ENSG00000233775	AL109945.1
729	ENSG00000162526	TSSK3
730	ENSG00000225828	FAM229A
731	ENSG00000160058	BSDC1
732	ENSG00000273274	ZBTB8B
733	ENSG00000160062	ZBTB8A
734	ENSG00000176261	ZBTB8OS
735	ENSG00000162521	RBBP4
736	ENSG00000162520	SYNC
737	ENSG00000224409	AC114489.1
738	ENSG00000162522	KIAA1522
739	ENSG00000134684	YARS
740	ENSG00000116497	S100PBP
741	ENSG00000160097	FNDC5
742	ENSG00000121905	HPCA
743	ENSG00000121900	TMEM54
744	ENSG00000287691	AL031602.2
745	ENSG00000116514	RNF19B
746	ENSG00000236065	AL020995.1
747	ENSG00000004455	AK2
748	ENSG00000142920	AZIN2
749	ENSG00000116525	TRIM62
750	ENSG00000284721	AL662907.3
751	ENSG00000160094	ZNF362
752	ENSG00000270115	AL513327.3
753	ENSG00000184389	A3GALT2
754	ENSG00000225313	AL513327.1
755	ENSG00000134686	PHC2
756	ENSG00000233246	AL513327.2
757	ENSG00000121903	ZSCAN20
758	ENSG00000121904	CSMD2
759	ENSG00000176256	HMGB4
760	ENSG00000231163	CSMD2-AS1
761	ENSG00000142698	C1orf94
762	ENSG00000287703	AC099565.1
763	ENSG00000163866	SMIM12
764	ENSG00000189280	GJB5
765	ENSG00000189433	GJB4
766	ENSG00000255811	AL121988.1
767	ENSG00000188910	GJB3
768	ENSG00000187513	GJA4
769	ENSG00000230163	AL122010.1
770	ENSG00000116544	DLGAP3
771	ENSG00000243749	TMEM35B
772	ENSG00000163867	ZMYM6
773	ENSG00000197056	ZMYM1
774	ENSG00000284640	AL590434.1
775	ENSG00000116560	SFPQ
776	ENSG00000146463	ZMYM4
777	ENSG00000227409	ZMYM4-AS1
778	ENSG00000142687	KIAA0319L
779	ENSG00000020129	NCDN
780	ENSG00000239636	AC004865.2
781	ENSG00000116819	TFAP2E
782	ENSG00000126067	PSMB2
783	ENSG00000142686	C1orf216
784	ENSG00000092853	CLSPN
785	ENSG00000232335	AL354864.1
786	ENSG00000134698	AGO4
787	ENSG00000092847	AGO1
788	ENSG00000286899	AL139286.3
789	ENSG00000271914	AL139286.2
790	ENSG00000126070	AGO3
791	ENSG00000271554	AL138787.2
792	ENSG00000092850	TEKT2
793	ENSG00000116863	ADPRHL2
794	ENSG00000171812	COL8A2
795	ENSG00000054116	TRAPPC3
796	ENSG00000116871	MAP7D1
