dataset_id	diagnosis	tissue_source	n_samples	n_cells	median_counts	median_features	mean_counts	mean_features	pct_lt_200_features	pct_lt_500_features	pct_ge_500_features
GSE214607	Control	Decidua	5	42228	5470	2031	9720.35365160557	2380.08844842285	1.36876006441224	9.16453537936914	90.8354646206309
GSE214607	Control	Villi	5	35679	6099	1894	12482.2469800163	2396.85963732167	2.40757868774349	12.4386894251521	87.561310574848
GSE214607	RM	Decidua	3	30791	5111	1951	9297.8847065701	2254.8955214186	0.604072618622325	10.4023903088565	89.5976096911435
GSE214607	RM	Villi	3	30877	4224	1658	9244.60650322246	2122.89396638274	1.11733652880785	10.7847264954497	89.2152735045503
