contrast_id	direction	interpretation_boundary	n_genes	n_marker_panel_genes	marker_panel_genes	top_genes
Decidua_vs_Villi_all	down_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	3	KRT18;KRT7;CGA	CDKN1C;ANXA1;TFPI;DSP;S100A11;MGST3;EZR;KRT18;ARID3A;KRT19;H19;LY6E;SLC2A1;RALBP1;KRT8;HEBP2;C1QTNF6;ADM;CCT8;CLIC3
Decidua_vs_Villi_all	up_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	4	GNLY;NKG7;DCN;IGFBP1	GNLY;CST3;CFD;IGFBP2;NKG7;IGFBP7;DCN;PNRC1;LGALS1;IFITM2;EIF1;LUM;JUN;SOD2;ARL6IP4;CCL4;IGFBP1;H3F3B;RBP1;C11orf96
RM_decidua_vs_Control_decidua	down_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	0	""	TPT1;NSA2;EIF3E;RACK1;DSTN;EEF2;SNHG29;GAS5;NACA;BTF3;SNHG8;BZW1;PLA2G2A;CFDP1;SEPTIN2;COX6C;TMA16;SLC25A6;PNRC1;EIF2A
RM_decidua_vs_Control_decidua	up_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	6	MS4A7;C1QB;C1QC;C1QA;SPP1;CD68	FTL;CD74;FTH1;HLA-DRA;SNX3;FCGRT;HLA-DPA1;HMOX1;S100A9;SNX6;TMEM176B;CYBA;RNASET2;AIF1;HLA-DPB1;MS4A7;NPC2;C1QB;S100A8;ISCU
RM_villi_vs_Control_villi	down_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	1	CGB3	TFPI;CBX3;MT1E;COL4A1;FSTL3;SLC16A3;UBE2S;YWHAE;CDKN1C;COL21A1;RAN;LY6E;EVA1B;GCSH;LAIR2;OBSL1;LRRC59;LRRC32;HEBP2;CGB3
RM_villi_vs_Control_villi	up_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	0	""	WASF2;EIF1;LRPAP1;HLA-C;CD99;CD81;APLP2;TMSB4X;ANKRD12;MYL6;DST;PFDN5;APPL1;ORMDL1;SON;GTF2I;DYNLRB1;TPST2;TRIOBP;CMTM6
