signature_id	contrast_id	direction	interpretation_boundary	n_genes	top_genes
RM_decidua_vs_Control_decidua_up	RM_decidua_vs_Control_decidua	up_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	LINC00520;C15orf62;FAM187B;ITLN1;AL359979.2;LINC02041;AQP2;SYN2;CSPG4;AL162591.2;AC130456.5;UPK3A;CASP5;PDYN-AS1;RNASE2
RM_decidua_vs_Control_decidua_down	RM_decidua_vs_Control_decidua	down_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	TMA16;NAT8;FAM138B;AP001172.1;HIST2H2AA3;AC006145.1;MPV17L;RPL12;AC005618.1;NSA2;A2ML1-AS1;AC107029.2;ANO10;LRRC75A;MFN1
RM_villi_vs_Control_villi_up	RM_villi_vs_Control_villi	up_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	AC090527.3;WASF2;AP001160.2;AC017028.1;AP001021.1;AL358075.1;AL590648.2;AL365184.1;NAALADL2-AS1;AL590286.2;LINC02205;AC009097.1;AL596244.1;AL008635.1;AC021205.3
RM_villi_vs_Control_villi_down	RM_villi_vs_Control_villi	down_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	CRYBA2;SLC7A11-AS1;AP000547.3;KCNF1;TEX35;LINC01804;AL009178.3;LRG1;OBSL1;FOXD3-AS1;SLC6A19;SLC5A10;LINC01775;CEP72;COL21A1
Decidua_vs_Villi_all_up	Decidua_vs_Villi_all	up_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	EEF2KMT;AC068193.1;LINC01569;CEP19;IL1RL2;EFCAB13;ADRA1B;A1BG;ERCC4;LINC00595;ANGPTL8;C18orf65;ARMCX5-GPRASP2;RMDN2;ZNF846
Decidua_vs_Villi_all_down	Decidua_vs_Villi_all	down_in_group_a	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	50	AL356804.1;AC080023.1;GAB1;TMPRSS13;RIT2;AC084757.2;AC239804.1;HAPLN1;EPS8L1;AC016597.2;UNC5CL;HIBADH;NECTIN3;USP43;AL139289.2
