contrast_id	contrast_label	direction	gene_rank	gene_id	gene_symbol	mean_group_a	mean_group_b	delta_log2CPM	z_effect	rank_score	marker_panel_gene	mean_max	low_interpretability_symbol	housekeeping_or_technical	interpretation_boundary	n_group_a	n_group_b	abs_z_effect
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	1	ENSG00000129757	CDKN1C	8.95622253720786	11.2713875807668	-2.31516504355895	-1.44612227102696	5.23095177945621	FALSE	11.2713875807668	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.44612227102696
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	2	ENSG00000135046	ANXA1	8.63246681030276	9.66866439296511	-1.03619758266235	-1.53114552948974	5.22933307347144	FALSE	9.66866439296511	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.53114552948974
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	3	ENSG00000003436	TFPI	7.6505006492131	9.7893402970014	-2.13883964778831	-1.50079395434609	5.15002660741055	FALSE	9.7893402970014	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.50079395434609
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	4	ENSG00000096696	DSP	4.6999044171753	8.60247155794123	-3.90256714076593	-1.5163819413371	4.9485696004924	FALSE	8.60247155794123	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.5163819413371
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	5	ENSG00000163191	S100A11	10.3179111514994	11.6495151010473	-1.33160394954784	-1.34497576112594	4.9239699499155	FALSE	11.6495151010473	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.34497576112594
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	6	ENSG00000143198	MGST3	7.66585345379066	9.15202447787228	-1.48617102408163	-1.46800422247893	4.90855918272457	FALSE	9.15202447787228	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.46800422247893
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	7	ENSG00000092820	EZR	6.84857202898531	8.87907523118492	-2.0305032021996	-1.47981415783597	4.88986238630376	FALSE	8.87907523118492	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.47981415783597
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	8	ENSG00000111057	KRT18	6.76811720035424	10.4833589606717	-3.71524176031742	-1.37506451231195	4.84225227388643	TRUE	10.4833589606717	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.37506451231195
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	9	ENSG00000116017	ARID3A	5.28481669205358	8.41136525483415	-3.12654856278057	-1.49676042289382	4.84112793169618	FALSE	8.41136525483415	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.49676042289382
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	10	ENSG00000171345	KRT19	7.06988007272051	10.5588219790064	-3.48894190628593	-1.36582942753727	4.82263781245995	FALSE	10.5588219790064	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.36582942753727
Decidua_vs_Villi_all	Decidua versus villi across conditions	down_in_group_a	11	ENSG00000130600	H19	8.40437717341055	11.1355459079299	-2.73116873451932	-1.3363234722464	4.81232412766276	FALSE	11.1355459079299	FALSE	FALSE	Exploratory pseudobulk programme candidate; not a standalone biomarker claim	8	8	1.3363234722464
