signature_id	programme_label	gene_symbols	n_genes	source_dataset	source_layer	evidence_level	interpretation_boundary
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	FTL,CD74,FTH1,HLA-DRA,SNX3,FCGRT,HLA-DPA1,HMOX1,S100A9,SNX6,TMEM176B,CYBA,RNASET2,AIF1,HLA-DPB1,MS4A7,NPC2,C1QB,S100A8,ISCU,C1QC,C1QA,CTSZ,PLTP,RAB31,TMSB4X,TMBIM6,YWHAH,SPP1,GRN	30	GSE214607	single_cell_pseudobulk_log2CPM	exploratory_projection_ready	Derived from GSE214607 pseudobulk contrasts; intended for transportability scoring, not standalone biomarker claim
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	GNLY,CST3,CFD,IGFBP2,NKG7,IGFBP7,DCN,PNRC1,LGALS1,IFITM2,EIF1,LUM,JUN,SOD2,ARL6IP4,CCL4,IGFBP1,H3F3B,RBP1,C11orf96,SELENOP,GZMA,IL32,AKAP13,ZFP36L2,JUNB,VCAN,MTDH,IGFBP4,KLF6	30	GSE214607	single_cell_pseudobulk_log2CPM	exploratory_projection_ready	Derived from GSE214607 pseudobulk contrasts; intended for transportability scoring, not standalone biomarker claim
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	CDKN1C,ANXA1,TFPI,DSP,S100A11,MGST3,EZR,KRT18,ARID3A,KRT19,H19,LY6E,SLC2A1,RALBP1,KRT8,HEBP2,C1QTNF6,ADM,CCT8,CLIC3,FSTL3,DSC2,HBZ,PERP,NUTF2,KRT7,VGLL3,RDX,SPINT2,GALNT1	30	GSE214607	single_cell_pseudobulk_log2CPM	exploratory_projection_ready	Derived from GSE214607 pseudobulk contrasts; intended for transportability scoring, not standalone biomarker claim
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	TFPI,CBX3,MT1E,COL4A1,FSTL3,SLC16A3,UBE2S,YWHAE,CDKN1C,COL21A1,RAN,LY6E,EVA1B,GCSH,LAIR2,OBSL1,LRRC59,LRRC32,HEBP2,CGB3,CALR,PCMT1,PIM3,SERPINB9,PROCR,UBE2F,HAPLN3,CCNB1,SLCO4A1,RANBP1	30	GSE214607	single_cell_pseudobulk_log2CPM	exploratory_projection_ready	Derived from GSE214607 pseudobulk contrasts; intended for transportability scoring, not standalone biomarker claim
