signature_id	programme_label	n_datasets	n_positive	n_negative	min_pct_present	mean_delta	median_delta	min_delta	max_delta	deltas_by_dataset	concordance_call	evidence_boundary
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	3	3	0	100	0.74699961375599	0.940593164640996	0.281674789307764	1.01873088731921	GSE113790:0.282;GSE161969:1.019;GSE178535:0.941	concordant_positive_directional_signal	Concordance is based on three small independent bulk cohorts; interpret as exploratory programme recurrence
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	3	3	0	96.6666666666667	0.270241362135317	0.20616398923087	0.0313287313816313	0.57323136579345	GSE113790:0.206;GSE161969:0.573;GSE178535:0.031	concordant_positive_directional_signal	Concordance is based on three small independent bulk cohorts; interpret as exploratory programme recurrence
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	3	3	0	100	0.231680864467572	0.155593104959878	0.133582773855381	0.405866714587456	GSE113790:0.406;GSE161969:0.134;GSE178535:0.156	concordant_positive_directional_signal	Concordance is based on three small independent bulk cohorts; interpret as exploratory programme recurrence
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	3	1	2	93.3333333333333	0.0470622456795661	-0.00718162936901119	-0.0965114378131774	0.244879804220887	GSE113790:0.245;GSE161969:-0.097;GSE178535:-0.007	mixed_or_weak_directional_signal	Concordance is based on three small independent bulk cohorts; interpret as exploratory programme recurrence
