signature_id	programme_label	n_control	n_case	mean_control	mean_case	median_control	median_case	delta_mean_case_minus_control	wilcox_p	wilcox_fdr_bh	abs_delta	n_signature_genes	n_present	pct_present	missing_genes	transportability_interpretation	statistical_boundary
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	3	3	-0.470296582320499	0.470296582320498	-0.323035344375737	0.491983034022998	0.940593164640996	0.1	0.4	0.940593164640996	30	30	100	""	positive_directional_transportability_signal	Pilot only: GSE178535 is a small third bulk cohort; directional effect should not be interpreted as statistically confirmed
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	3	3	-0.0777965524799387	0.0777965524799394	0.362172149929438	0.370837931781732	0.155593104959878	1	1	0.155593104959878	30	30	100	""	weak_or_neutral_transportability_signal	Pilot only: GSE178535 is a small third bulk cohort; directional effect should not be interpreted as statistically confirmed
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	3	3	-0.0156643656908147	0.0156643656908166	-0.0868320358305029	-0.130864814431403	0.0313287313816313	1	1	0.0313287313816313	30	29	96.6666666666667	H3F3B	weak_or_neutral_transportability_signal	Pilot only: GSE178535 is a small third bulk cohort; directional effect should not be interpreted as statistically confirmed
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	3	3	0.00359081468450515	-0.00359081468450605	-0.064415441942265	0.117770181148963	-0.00718162936901119	1	1	0.00718162936901119	30	29	96.6666666666667	EVA1B	weak_or_neutral_transportability_signal	Pilot only: GSE178535 is a small third bulk cohort; directional effect should not be interpreted as statistically confirmed
