signature_id	programme_label	n_control	n_rpl	pct_present	mean_control	mean_rpl	delta_mean_rpl_minus_control	wilcox_p	wilcox_fdr_bh	transportability_interpretation	statistical_boundary
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	3	4	100	-0.582131935610976	0.436598951708232	1.01873088731921	0.114285714285714	0.457142857142857	positive_directional_transportability_signal	Pilot only: GSE161969 has n=3 controls and n=4 RPL; directional effect should not be interpreted as statistically confirmed
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	3	4	96.6666666666667	-0.3275607804534	0.24567058534005	0.57323136579345	0.628571428571429	1	exploratory_or_context_dependent_signal	Pilot only: GSE161969 has n=3 controls and n=4 RPL; directional effect should not be interpreted as statistically confirmed
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	3	4	100	-0.0763330136316465	0.0572497602237348	0.133582773855381	0.857142857142857	1	weak_or_neutral_transportability_signal	Pilot only: GSE161969 has n=3 controls and n=4 RPL; directional effect should not be interpreted as statistically confirmed
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	3	4	96.6666666666667	0.0551493930361013	-0.0413620447770761	-0.0965114378131774	1	1	weak_or_neutral_transportability_signal	Pilot only: GSE161969 has n=3 controls and n=4 RPL; directional effect should not be interpreted as statistically confirmed
