signature_id	programme_label	n_control	n_case	mean_control	mean_case	median_control	median_case	delta_mean_case_minus_control	wilcox_p	wilcox_fdr_bh	abs_delta	n_signature_genes	n_present	pct_present	missing_genes	transportability_interpretation	statistical_boundary
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	3	3	-0.202933357293728	0.202933357293728	-0.332115929772784	0.236008759270049	0.405866714587456	0.4	0.7	0.405866714587456	30	30	100	""	exploratory_or_context_dependent_signal	Pilot only: GSE113790 has n=3 controls and n=3 RSA; directional effect should not be interpreted as statistically confirmed
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	3	3	-0.140837394653882	0.140837394653882	-0.400316654978292	0.0540503971106847	0.281674789307764	0.7	0.7	0.281674789307764	30	30	100	""	exploratory_or_context_dependent_signal	Pilot only: GSE113790 has n=3 controls and n=3 RSA; directional effect should not be interpreted as statistically confirmed
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	3	3	-0.122439902110444	0.122439902110444	-0.18504860278127	0.140548443231498	0.244879804220887	0.7	0.7	0.244879804220887	30	28	93.3333333333333	EVA1B,CGB3	weak_or_neutral_transportability_signal	Pilot only: GSE113790 has n=3 controls and n=3 RSA; directional effect should not be interpreted as statistically confirmed
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	3	3	-0.103081994615435	0.103081994615435	-0.17358517254934	-0.0552578796147798	0.20616398923087	0.7	0.7	0.20616398923087	30	29	96.6666666666667	SELENOP	weak_or_neutral_transportability_signal	Pilot only: GSE113790 has n=3 controls and n=3 RSA; directional effect should not be interpreted as statistically confirmed
