signature_id	programme_label	n_datasets	n_positive	n_negative	min_pct_present	mean_delta	deltas_by_dataset	concordance_call	evidence_boundary
GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	2	2	0	100	0.650202838313487	GSE113790:0.282;GSE161969:1.019	concordant_positive_directional_signal	Concordance is based on two small independent bulk cohorts; interpret as exploratory programme recurrence
GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	2	2	0	96.6666666666667	0.38969767751216	GSE113790:0.206;GSE161969:0.573	concordant_positive_directional_signal	Concordance is based on two small independent bulk cohorts; interpret as exploratory programme recurrence
GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	2	2	0	100	0.269724744221419	GSE113790:0.406;GSE161969:0.134	concordant_positive_directional_signal	Concordance is based on two small independent bulk cohorts; interpret as exploratory programme recurrence
GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	2	1	1	93.3333333333333	0.0741841832038548	GSE113790:0.245;GSE161969:-0.097	mixed_or_weak_directional_signal	Concordance is based on two small independent bulk cohorts; interpret as exploratory programme recurrence
